session_id,provider_group,source_operator,name,activity_type,activity_raw,is_free,price_gbp,location_name,postcode,borough,latitude,longitude,start_time,end_time,days_of_week,session_count,is_online,url
SLL_Southwark_1556,London Venue,SLL_Southwark,Public Swim,Swimming,Swimming | Swimming Canada Water,True,0.0,Canada Water Leisure Cent,,Southwark,,,18:00,18:55,Wednesday,1,False,
SLL_Southwark_1557,London Venue,SLL_Southwark,Public Swim,Swimming,Swimming | Swimming Castle,True,0.0,The Castle Centre,SE1 6FG,Southwark,51.4935,-0.1024,13:00,13:55,Sunday,1,False,https://southwarkleisure.co.uk/centres/the-castle-centre/
SLL_Southwark_1558,London Venue,SLL_Southwark,Gym Session,Gym / Fitness,Gym | Gym Dulwich,False,9.7,Dulwich Leisure Centre,SE22 9HB,Southwark,51.460601,-0.071419,11:00,12:00,Tuesday,1,False,https://southwarkleisure.co.uk/centres/dulwich-leisure-centre/
SLL_Southwark_1559,London Venue,SLL_Southwark,Family Disability Swim,Swimming,Swimming | Swimming Peckham,False,2.5,Peckham Pulse Leisure Centre,SE15 5QN,Southwark,51.474074,-0.070885,15:00,16:00,Thursday,1,False,https://southwarkleisure.co.uk/centres/peckham-pulse-leisure-centre/
SLL_Southwark_1560,London Venue,SLL_Southwark,Public Swim,Swimming,Swimming | Swimming Dulwich,True,0.0,Dulwich Leisure Centre,SE22 9HB,Southwark,51.460601,-0.071419,15:00,16:00,,1,False,https://southwarkleisure.co.uk/centres/dulwich-leisure-centre/
SLL_Southwark_1561,London Venue,SLL_Southwark,Lane Swim - Slow,Swimming,Swimming | Swimming Canada Water,True,0.0,Canada Water Leisure Cent,,Southwark,,,20:00,21:30,Sunday,1,False,
SLL_Southwark_1562,London Venue,SLL_Southwark,Public Swim,Swimming,Swimming | Swimming Canada Water,True,0.0,Canada Water Leisure Cent,,Southwark,,,16:00,16:55,Friday,1,False,
SLL_Southwark_1563,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Castle,False,4.0,The Castle Centre,SE1 6FG,Southwark,51.4935,-0.1024,06:30,07:00,Thursday,1,False,https://southwarkleisure.co.uk/centres/the-castle-centre/
SLL_Southwark_1564,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Camberwell,False,4.0,Camberwell Leisure Centre,SE5 8TS,Southwark,51.47422,-0.09051,06:30,07:00,Thursday,1,False,https://southwarkleisure.co.uk/centres/camberwell-leisure-centre/
SLL_Southwark_1565,London Venue,SLL_Southwark,Lane Swim - Fast,Swimming,Swimming | Swimming Dulwich,False,2.5,Dulwich Leisure Centre,SE22 9HB,Southwark,51.460601,-0.071419,06:30,07:30,Monday,1,False,https://southwarkleisure.co.uk/centres/dulwich-leisure-centre/
SLL_Southwark_1566,London Venue,SLL_Southwark,Lane Swim - Fast,Swimming,Swimming | Swimming Peckham,True,0.0,Peckham Pulse Leisure Centre,SE15 5QN,Southwark,51.474074,-0.070885,14:00,15:00,Sunday,1,False,https://southwarkleisure.co.uk/centres/peckham-pulse-leisure-centre/
SLL_Southwark_1567,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Peckham,False,4.0,Peckham Pulse Leisure Centre,SE15 5QN,Southwark,51.474074,-0.070885,19:00,20:00,Wednesday,1,False,https://southwarkleisure.co.uk/centres/peckham-pulse-leisure-centre/
SLL_Southwark_1568,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Peckham,False,4.0,Peckham Pulse Leisure Centre,SE15 5QN,Southwark,51.474074,-0.070885,15:00,16:00,Wednesday,1,False,https://southwarkleisure.co.uk/centres/peckham-pulse-leisure-centre/
SLL_Southwark_1569,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Surrey Docks,False,4.0,Surrey Docks Fitness & Water Sports,SE16 7SX,Southwark,51.493796,-0.039449,16:00,17:00,Sunday,1,False,https://southwarkleisure.co.uk/centres/surrey-docks-fitness-and-watersports-centre/
SLL_Southwark_1570,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Surrey Docks,False,4.0,Surrey Docks Fitness & Water Sports,SE16 7SX,Southwark,51.493796,-0.039449,17:00,18:00,Sunday,1,False,https://southwarkleisure.co.uk/centres/surrey-docks-fitness-and-watersports-centre/
SLL_Southwark_1571,London Venue,SLL_Southwark,Gym Session,Gym / Fitness,Gym | Gym Dulwich,False,9.7,Dulwich Leisure Centre,SE22 9HB,Southwark,51.460601,-0.071419,14:00,15:00,Thursday,1,False,https://southwarkleisure.co.uk/centres/dulwich-leisure-centre/
SLL_Southwark_1572,London Venue,SLL_Southwark,Public Swim,Swimming,Swimming | Swimming Canada Water,True,0.0,Canada Water Leisure Cent,,Southwark,,,13:30,15:00,Wednesday,1,False,
SLL_Southwark_1573,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Canada Water,False,4.0,Canada Water Leisure Cent,,Southwark,,,14:00,15:00,Monday,1,False,
