survey_year,borough,pct_active,pct_fairly_active,pct_inactive,respondents,weighted_base,source_file
2016-17,Kingston upon Thames,65.69454532623536,13.968768654632676,20.336686019131964,479.0,624.0471379505234,shannon
2016-17,Lambeth,68.26603519945772,10.99837715193966,20.73558764860261,1003.0,1160.6246386136104,shannon
2016-17,Lewisham,60.33072738547624,14.19045182217313,25.47882079235064,485.0,1044.608647311477,shannon
2016-17,Merton,65.8547353599497,15.315299386695544,18.829965253354747,496.0,731.9631479851656,shannon
2016-17,Newham,61.951867872627545,11.950708580761708,26.09742354661075,505.0,1139.1524276079535,shannon
2016-17,Redbridge,56.178875279391406,15.033466832538286,28.787657888070303,997.0,1009.453276393162,shannon
2016-17,Richmond upon Thames,69.34499406617107,12.40185650730492,18.25314942652401,503.0,686.7001750367649,shannon
2016-17,Southwark,69.09249793525146,10.270815127103775,20.636686937644757,500.0,1094.1860024813514,shannon
2016-17,Sutton,56.63497900224999,12.44974767624437,30.915273321505648,499.0,697.8329848408729,shannon
2016-17,Tower Hamlets,64.06448352945702,12.50963811812778,23.4258783524152,479.0,1083.4714806403176,shannon
2016-17,Waltham Forest,64.53767046374995,13.740464885091273,21.721864651158786,503.0,932.7601118637864,shannon
2016-17,Wandsworth,70.89148289890203,8.865911880496975,20.242605220600986,488.0,1131.7297918880358,shannon
2016-17,Westminster,66.53314752177037,15.201143235021467,18.265709243208157,502.0,923.2849068039528,shannon
2017-18,Barking and Dagenham,53.63688110790328,10.156971343717622,36.20614754837909,472.0,621.662376233036,shannon
2017-18,Barnet,64.49054933582026,12.54014237517264,22.96930828900712,494.0,1210.9967171927196,shannon
2017-18,Bexley,68.92275047393626,9.451319383537626,21.62593014252612,489.0,789.8823933512244,shannon
2017-18,Brent,59.64456576582259,10.554170795789933,29.801263438387476,506.0,1032.8438435595006,shannon
2017-18,Bromley,63.77619209653356,12.818702301652324,23.405105601814107,484.0,1057.9780973817385,shannon
2017-18,Camden,70.65628123795078,12.47307363709888,16.870645124950347,513.0,849.1683957857102,shannon
2017-18,City of London,72.96816410003619,9.479776249511552,17.55205965045227,233.0,26.64044207934503,shannon
2017-18,Croydon,62.97113851167882,11.762302241627664,25.26655924669351,498.0,1207.699983414614,shannon
2017-18,Ealing,64.86085715753745,10.939939756597514,24.199203085865047,495.0,1059.6060369666377,shannon
2017-18,Enfield,59.69726960322627,11.453450285700988,28.84928011107276,499.0,1030.1484729304711,shannon
2017-18,Greenwich,64.71715450010755,13.58154165056297,21.70130384932945,488.0,868.1142081305102,shannon
2017-18,Hackney,69.08667597819071,11.42709867775172,19.48622534405757,538.0,886.615989178979,shannon
2017-18,Hammersmith and Fulham,66.6067241883872,9.97620994272836,23.41706586888444,489.0,612.1943855532177,shannon
2017-18,Haringey,65.22833656657484,12.374778297399772,22.396885136025386,502.0,834.2033541449156,shannon
2017-18,Harrow,57.16886148037115,12.068012608099291,30.76312591152957,510.0,806.340730131989,shannon
2017-18,Havering,60.96139798055054,13.52034294539301,25.518259074056463,509.0,825.2848434383804,shannon
2017-18,Hillingdon,55.77605104238573,13.192502491456398,31.031446466157877,500.0,938.2577373599638,shannon
2017-18,Hounslow,59.98129130153783,11.623369544460877,28.3953391540013,489.0,855.3879214824417,shannon
2017-18,Islington,75.18122249212462,8.391183160983834,16.427594346891542,484.0,772.3709400164514,shannon
2017-18,Kensington and Chelsea,71.96779336821393,7.473595671065233,20.55861096072084,519.0,525.0644027922524,shannon
2017-18,Kingston upon Thames,67.6539175296999,12.147332280632511,20.198750189667606,480.0,553.7555336305151,shannon
2017-18,Lambeth,70.84123439839965,11.371674961799144,17.787090639801203,504.0,1038.2646283194154,shannon
2017-18,Lewisham,68.4167315814228,13.320850306704754,18.26241811187245,480.0,949.8625066442344,shannon
2017-18,Merton,68.59865663557233,10.877510524170944,20.523832840256738,495.0,656.9877871341755,shannon
2017-18,Newham,51.11547424412508,15.486173995471864,33.398351760403045,498.0,1089.6379654317402,shannon
2017-18,Redbridge,57.55011635893488,12.814169931669923,29.635713709395198,483.0,945.3803245400396,shannon
2017-18,Richmond upon Thames,73.0727161159546,11.374027904633376,15.553255979412024,499.0,628.2591004902413,shannon
2017-18,Southwark,72.32066892459183,11.146499988860926,16.53283108654724,520.0,1022.44856165388,shannon
