session_id,provider_group,source_operator,name,activity_type,activity_raw,is_free,price_gbp,location_name,postcode,borough,latitude,longitude,start_time,end_time,days_of_week,session_count,is_online,url
V_00365,Everyone Active,Everyone Active,Reform Fitcore Sat 08:30,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,07:30,08:15,Saturday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1806CRF08303325&Culture=en-GB
V_00366,Everyone Active,Everyone Active,Reform Fitcore Sat 10:30,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,09:30,10:15,Saturday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1806CRF10303325&Culture=en-GB
V_00367,Everyone Active,Everyone Active,Reform Fitcore Sat 11:30,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,10:30,11:15,Saturday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1806CRF11300125&Culture=en-GB
V_00368,Everyone Active,Everyone Active,Reform Fitcore Sun 10:15,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,09:15,10:00,Sunday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1807CRF10150325&Culture=en-GB
V_00369,Everyone Active,Everyone Active,Reform Fitcore Sun 11:30,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,10:30,11:15,Sunday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1807CRF01131325&Culture=en-GB
V_00370,Everyone Active,Everyone Active,Reform Fitcore Sun 13:30,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,12:30,13:15,Sunday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1807CRF13300325&Culture=en-GB
V_00371,Everyone Active,Everyone Active,Reform Fitcore Thu 10:30,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,09:30,10:15,Thursday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1804CRF10300125&Culture=en-GB
V_00372,Everyone Active,Everyone Active,Reform Fitcore Thu 18:30,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,17:30,18:15,Thursday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1804CRF18030325&Culture=en-GB
V_00373,Everyone Active,Everyone Active,Reform Fitcore Tue 11:00,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,10:00,10:45,Tuesday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1802CRF11000325&Culture=en-GB
V_00374,Everyone Active,Everyone Active,Reform Fitcore Tue 12:00,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,11:00,11:45,Tuesday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1802CRF12000125&Culture=en-GB
