session_id,provider_group,source_operator,name,activity_type,activity_raw,borough,location_name,street_address,postcode,latitude,longitude,start_time,end_time,days_of_week,is_free,price_gbp,session_count,is_online,url,first_session_id,source_file
V_00188,Everyone Active,Everyone Active,Lane Swim Slow Mon 06:30,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,05:30,06:30,Monday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1801WS4SM063075&Culture=en-GB,EA_00000000001535404654,Person2_VenueActivity_London.csv
V_00189,Everyone Active,Everyone Active,Lane Swim Slow Mon 12:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,11:00,12:00,Monday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1801WS4SM120075&Culture=en-GB,EA_00000000001535404707,Person2_VenueActivity_London.csv
V_00190,Everyone Active,Everyone Active,Lane Swim Slow Sun 19:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,18:00,19:00,Sunday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1807WS4SM190075&Culture=en-GB,EA_00000000001535406581,Person2_VenueActivity_London.csv
V_00191,Everyone Active,Everyone Active,Lane Swim Slow Thu 06:30,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,05:30,06:30,Thursday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1804WS4SM063075&Culture=en-GB,EA_00000000001535406009,Person2_VenueActivity_London.csv
V_00192,Everyone Active,Everyone Active,Lane Swim Slow Tue 06:30,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,05:30,06:30,Tuesday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1802WS4SM063075&Culture=en-GB,EA_00000000001535405020,Person2_VenueActivity_London.csv
V_00193,Everyone Active,Everyone Active,Lane Swim Slow Tue 09:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,08:00,09:00,Tuesday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1802WS4SM090075&Culture=en-GB,EA_00000000001535405072,Person2_VenueActivity_London.csv
V_00194,Everyone Active,Everyone Active,Lane Swim Slow Wed 06:30,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,05:30,06:30,Wednesday,False,4.05,3,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1803WS4SM063075&Culture=en-GB,EA_00000000001535405644,Person2_VenueActivity_London.csv
V_00195,Everyone Active,Everyone Active,Lane Swim Slow Wed 12:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,11:00,12:00,Wednesday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1803WS4SM120075&Culture=en-GB,EA_00000000001535405696,Person2_VenueActivity_London.csv
V_00196,Everyone Active,Everyone Active,Men & Boy Fri 20:30,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,19:30,20:30,Friday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1805WMOBM203026&Culture=en-GB,EA_00000000001800578586,Person2_VenueActivity_London.csv
V_00208,Everyone Active,Everyone Active,Mens Swimming Tue 20:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,19:00,20:30,Tuesday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1802WMOSM200075&Culture=en-GB,EA_00000000000345696418,Person2_VenueActivity_London.csv
