session_id,provider_group,source_operator,name,activity_type,activity_raw,is_free,price_gbp,location_name,postcode,borough,latitude,longitude,start_time,end_time,days_of_week,session_count,is_online,url
TH_29,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Dance Fitness,Dance,York Hall Group Ex,False,16.65, York Hall Leisure Centre,E2 9PJ,Tower Hamlets,51.52995217963927,-0.0558973331840584,11:30,12:30,Saturday,1,False,https://be-well.org.uk/centres/york-hall-leisure-centre/
TH_30,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Family Fun Swim,Swimming,Poplar Swim For All,False,7.9, Poplar Baths Leisure Centre and Gym,E14 0ED,Tower Hamlets,51.511092905004745,-0.0139868817320598,13:00,14:00,Sunday,6,False,https://be-well.org.uk/centres/poplar-baths-leisure-centre-and-gym/
TH_31,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Family Fun Swim,Swimming,York Hall Swim For All,False,8.3, York Hall Leisure Centre,E2 9PJ,Tower Hamlets,51.52995217963927,-0.0558973331840584,10:00,11:00,Sunday,6,False,https://be-well.org.uk/centres/york-hall-leisure-centre/
TH_32,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,For The Girls,Other / Unspecified,Activities,False,3.9,John Orwell Sports Centre,E1W 2QD,Tower Hamlets,51.50487234184735,-0.0614756998345731,17:30,19:00,Tuesday,1,False,https://be-well.org.uk/centres/john-orwell-sports-centre/
TH_33,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Free Men Only Swimming,Swimming,Men Only Sessions,False,7.9,Mile End Park Leisure Centre,E3 4HL,Tower Hamlets,51.51953920090171,-0.0322499306855374,21:00,22:00,Wednesday,1,False,https://be-well.org.uk/centres/mile-end-leisure-centre-and-stadium/
TH_34,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Free Swimming,Swimming,Free Swimming,False,8.3, Poplar Baths Leisure Centre and Gym,E14 0ED,Tower Hamlets,51.511092905004745,-0.0139868817320598,08:00,09:00,"Sunday, Saturday",21,False,https://be-well.org.uk/centres/poplar-baths-leisure-centre-and-gym/
TH_35,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Free Swimming,Swimming,Free Swimming,False,8.3, York Hall Leisure Centre,E2 9PJ,Tower Hamlets,51.52995217963927,-0.0558973331840584,19:30,20:30,Thursday,23,False,https://be-well.org.uk/centres/york-hall-leisure-centre/
TH_36,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Free Swimming,Swimming,Free Swimming,False,8.3,Mile End Park Leisure Centre,E3 4HL,Tower Hamlets,51.51953920090171,-0.0322499306855374,06:00,07:00,"Monday, Tuesday, Wednesday, Thursday, Friday",15,False,https://be-well.org.uk/centres/mile-end-leisure-centre-and-stadium/
TH_37,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Free Swimming,Swimming,Free Swimming,False,8.3,Tiller Leisure Centre,E14 8PX,Tower Hamlets,51.496328266681,-0.0218796717363112,07:30,08:30,Monday,41,False,https://be-well.org.uk/centres/tiller-leisure-centre/
TH_38,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Free Swimming Women Only,Swimming,Free Swimming,False,8.3,Tiller Leisure Centre,E14 8PX,Tower Hamlets,51.496328266681,-0.0218796717363112,12:30,13:30,Friday,1,False,https://be-well.org.uk/centres/tiller-leisure-centre/
