name,activity_type,venue,address,town,postcode,latitude,longitude,provider
Lane Swim Fast Wed 17:00,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Lane Swim Med Wed 07:30,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Lane Swim Fast Tue 13:45,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Lane Swim Med Wed 11:45,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Lane Swim Med Wed 12:45,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Lane Swim Med Tue 07:30,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Lane Swim Med Wed 16:00,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Lane Swim Slow Wed 07:00,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Lane Swim Med Tue 10:45,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Lane Swim Slow Wed 1145,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Lane Swim Med Tue 11:45,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Vir Grit Athlet Sun 16:30,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Lane Swim Med Fri 09:45,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Lane Swim Slow Fri 07:00,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Lane Swim Slow Fri 12:45,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Family Swimming Sun 11:00,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Family Swimming Sun 12:00,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Lane Swim Med Sun 12:00,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Intro 11-15 Yrs Sat 09:30,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Intro 11-15 Yrs Sat 13:30,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Parent & Junior Sat 08:00,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Inlc Fam Swim Sun 09:00,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Parent & Junior Sat 10:00,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Parent & Junior Sat 14:00,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Parent & Junior Sat 15:00,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Parent & Junior Sat 17:00,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Free Weights Sat 11:30,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Vir Bodycombat Sat 08:00,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Vir Bodypump Sat 12:30,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Swim Disco Sun 12:00,,Meadowside Leisure Centre,High Street,Burton-upon-Trent,DE14 1TL,52.80489,-1.62788,Everyone Active
Swim Disco Sun 13:00,,Meadowside Leisure Centre,High Street,Burton-upon-Trent,DE14 1TL,52.80489,-1.62788,Everyone Active
Public Swimming Sun 13:00,,Meadowside Leisure Centre,High Street,Burton-upon-Trent,DE14 1TL,52.80489,-1.62788,Everyone Active
Lane Swim Fast Sun 11:00,,Meadowside Leisure Centre,High Street,Burton-upon-Trent,DE14 1TL,52.80489,-1.62788,Everyone Active
Public Swimming Sun 14:00,,Meadowside Leisure Centre,High Street,Burton-upon-Trent,DE14 1TL,52.80489,-1.62788,Everyone Active
Lane Swim Slow Sun 11:00,,Meadowside Leisure Centre,High Street,Burton-upon-Trent,DE14 1TL,52.80489,-1.62788,Everyone Active
Soft Play Tue 16:00,,Meadowside Leisure Centre,High Street,Burton-upon-Trent,DE14 1TL,52.80489,-1.62788,Everyone Active
Parent & Junior Mon 06:00,,Meadowside Leisure Centre,High Street,Burton-upon-Trent,DE14 1TL,52.80489,-1.62788,Everyone Active
Parent & Junior Mon 07:00,,Meadowside Leisure Centre,High Street,Burton-upon-Trent,DE14 1TL,52.80489,-1.62788,Everyone Active
