borough,ethnic_group,group_inactive,borough_overall_inactive,gap,total_respondents,n_years_pooled,reliable
Hackney,White Other,14.021065476385619,21.04941389055713,-7.028348414171511,735.0,7,True
Haringey,White Other,15.964064671306444,23.195860594384023,-7.231795923077579,795.0,7,True
Newham,White British,24.986323560987305,32.453472046672765,-7.46714848568546,865.0,7,True
Haringey,White British,15.647524039519098,23.195860594384023,-7.548336554864925,1952.0,7,True
Hammersmith and Fulham,South Asian,11.49833032416238,19.209484198500917,-7.711153874338537,38.0,1,False
Hounslow,White Other,21.688072054086888,30.222648794249487,-8.5345767401626,490.0,7,True
Brent,White British,22.220616992534566,31.18117663373343,-8.960559641198863,838.0,7,True
Barking and Dagenham,Black,27.876015160536213,37.65326753550181,-9.777252374965599,633.0,7,True
Tower Hamlets,White British,14.96036983235708,25.06720612216257,-10.106836289805491,1256.0,7,True
Tower Hamlets,White Other,13.7802349232029,25.06720612216257,-11.28697119895967,732.0,7,True
Tower Hamlets,Chinese,9.75210580022265,25.06720612216257,-15.315100321939921,31.0,1,False
Islington,South Asian,2.3391496668494454,17.80787807338907,-15.468728406539624,34.0,1,False
