borough,inactive,readiness_opportunity,readiness_ability,respondents,sessions,venues,readiness_opportunity_pct,inactive_rank,readiness_opp_rank,demand_score,s_bin,d_bin,class,d_bin_tiebreak,class_tiebreak,s_bin2,d_bin2,class_median,s_bin4,d_bin4,class_quartile,concern,concern_median,concern_quartile,stable,demand_score_shrunk,d_bin_shrunk,note,deprived_inactive,deprived_sample,equity_gap,equity_flag
Havering,29.30045304369697,3.850762008683843,3.9647702635196382,2468.0,5696.0,8.0,71.26905021709608,78.125,12.5,45.3125,high,low,well-served,low,well-served,high,low,well-served,high,low,well-served,low,low,low,True,48.59032201818664,low,,34.25930569411969,635.0,4.95885265042272,moderate gap
Hillingdon,30.251572378482432,3.9069530912743886,4.100821617369731,2480.0,231.0,7.0,72.67382728185972,87.5,28.125,57.8125,mid,high,emerging desert,high,emerging desert,low,high,genuine desert,mid_low,mid_high,average,mid,high,low,False,54.80919640520719,high,,34.08396665407234,815.0,3.832394275589909,low gap
Hounslow,30.222648794249487,3.847171240915354,4.139491277426832,2487.0,646.0,7.0,71.17928102288384,84.375,9.375,46.875,mid,low,adequately served,low,adequately served,high,low,well-served,mid_high,low,adequately served,low,low,low,True,49.35727796676842,low,,35.82076305383191,1180.0,5.598114259582424,moderate gap
Islington,17.80787807338907,3.937244538888408,4.10491500885725,2487.0,163.0,7.0,73.43111347221021,9.375,40.625,25.0,low,low,"low need, low supply",low,"low need, low supply",low,low,"low need, low supply",mid_low,low,adequately served,low,low,low,True,38.4450073820728,low,,18.945420356927865,2345.0,1.1375422835387958,low gap
Kensington and Chelsea,21.12033602949941,3.9894254333069257,4.196864054242026,2494.0,1001.0,5.0,74.73563583267314,31.25,75.0,53.125,mid,mid,average,mid,average,high,high,under-monitored,mid_high,mid_high,average,low,mid,low,False,52.475980831912665,mid,,29.191067005269478,1339.0,8.070730975770068,high gap
Kingston upon Thames,20.200689429169607,3.854483101365994,4.096915500199165,2464.0,4305.0,6.0,71.36207753414985,21.875,18.75,20.3125,high,low,well-served,low,well-served,high,low,well-served,high,low,well-served,low,low,low,True,36.179865854574096,low,,39.689809520174194,89.0,19.489120091004587,high gap
Lambeth,18.716521654868977,4.031318610163146,4.256673366928984,3010.0,166.0,6.0,75.78296525407866,15.625,90.625,53.125,low,mid,blind spot risk,mid,blind spot risk,low,high,genuine desert,mid_low,mid_high,average,mid,high,low,False,52.53677667301879,mid,,22.890986777774785,2287.0,4.174465122905808,moderate gap
Lewisham,21.2253147900762,3.916895441091108,4.178340432109781,2523.0,98.0,3.0,72.9223860272777,34.375,34.375,34.375,low,low,"low need, low supply",low,"low need, low supply",low,low,"low need, low supply",low,low,"low need, low supply",low,low,low,True,43.05898821135596,low,,25.56379355771409,1901.0,4.338478767637888,moderate gap
Merton,22.11411528699184,3.97010333073592,4.223620139368831,2529.0,224.0,5.0,74.25258326839798,37.5,59.375,48.4375,mid,low,adequately served,low,adequately served,low,low,"low need, low supply",mid_low,mid_low,average,low,low,low,True,50.12253044322704,low,,28.09999552688681,428.0,5.985880239894971,moderate gap
Newham,32.453472046672765,3.976800127144133,4.154137342766351,2474.0,3196.0,9.0,74.42000317860334,96.875,62.5,79.6875,high,high,under-monitored,high,under-monitored,high,high,under-monitored,high,high,under-monitored,mid,mid,mid,True,65.68918236366495,high,,34.29873636748441,2895.0,1.8452643208116442,low gap
Redbridge,30.27178810648796,3.9814258931632303,4.161015653466197,2981.0,0.0,0.0,74.53564732908076,90.625,68.75,79.6875,low,high,blind spot,high,blind spot,low,high,blind spot,low,high,blind spot,high,high,high,True,66.98440036560343,high,"Classified as a blind spot — real facilities exist nearby, but aren't listed on any online booking platform we track.",36.729265572125904,913.0,6.457477465637943,high gap
Richmond upon Thames,17.252301936571634,4.065697863373542,4.274746594490926,2547.0,59.0,2.0,76.64244658433854,6.25,96.875,51.5625,low,mid,blind spot risk,mid,blind spot risk,low,low,"low need, low supply",low,mid_low,blind spot risk,mid,low,mid,False,51.69403860931998,mid,,28.90530427767993,107.0,11.653002341108298,high gap
Southwark,20.43323489440168,3.998552085121054,4.279872287498732,2565.0,5051.0,12.0,74.96380212802634,25.0,78.125,51.5625,high,mid,well-served (moderate need),mid,well-served (moderate need),high,high,under-monitored,high,mid_high,well-served (moderate need),low,mid,low,False,51.693571008852366,mid,,24.3242755077725,2006.0,3.891040613370823,moderate gap
Sutton,25.53678517661457,3.978312891857402,4.074855068689418,2480.0,2857.0,7.0,74.45782229643505,59.375,65.625,62.5,high,high,under-monitored,high,under-monitored,high,high,under-monitored,mid_high,high,under-monitored,mid,mid,mid,True,57.14423708010927,high,,34.784032979746655,436.0,9.247247803132087,high gap
Tower Hamlets,25.06720612216257,3.988391087395057,4.248259218670458,2519.0,995.0,8.0,74.70977718487643,50.0,71.875,60.9375,mid,high,emerging desert,high,emerging desert,high,high,under-monitored,mid_high,high,under-monitored,mid,mid,mid,True,56.40142437535107,high,,27.17868497283928,2357.0,2.1114788506767113,low gap
Waltham Forest,26.357970859551177,3.940794628869909,4.116016256133929,2490.0,5825.0,18.0,73.51986572174773,62.5,46.875,54.6875,high,high,under-monitored,high,under-monitored,high,high,under-monitored,high,mid_high,well-served (moderate need),mid,mid,low,False,53.25537923290047,mid,,30.43173751932348,1827.0,4.0737666597723035,moderate gap
Wandsworth,16.357945529277874,4.045150665516677,4.284791437320459,2500.0,12838.0,8.0,76.12876663791693,3.125,93.75,48.4375,high,low,well-served,low,well-served,high,low,well-served,high,mid_low,well-served (moderate need),low,low,low,True,50.13230655263058,mid,,27.966481027299647,646.0,11.608535498021773,high gap
Westminster,22.115310039960647,3.948705242977304,4.146468086661402,2473.0,3914.0,12.0,73.71763107443259,40.625,53.125,46.875,high,low,well-served,low,well-served,high,low,well-served,high,mid_low,well-served (moderate need),low,low,low,True,49.36426818934405,low,,26.8541087174178,1489.0,4.738798677457154,moderate gap
